place,year,d_val_overall,d_val_inner,d_val_outer
Leeds,2004.0,0.4083568523987341,0.11623094373109098,0.29212590866764315
Leeds,2007.0,0.3986500298393149,0.12062436535353553,0.2780256644857794
Leeds,2010.0,0.3848103012319408,0.11520890341564798,0.26960139781629283
Leeds,2015.0,0.3867614284730301,0.11389637379291224,0.2728650546801178
Leicester,2004.0,0.3968960069092339,0.11837071606121094,0.2785252908480229
Leicester,2007.0,0.40978766700760244,0.13113380241729305,0.2786538645903094
Leicester,2010.0,0.3816252283697672,0.11528441603740248,0.26634081233236473
Leicester,2015.0,0.3381016832316246,0.09474623616197088,0.2433554470696537
Liverpool,2004.0,0.3901268534938111,0.08257607641427854,0.3075507770795326
Liverpool,2007.0,0.3773564218176069,0.08318990029383865,0.29416652152376827
Liverpool,2010.0,0.3656771091968911,0.07888941753719336,0.28678769165969775
Liverpool,2015.0,0.347659327332333,0.08385286165897689,0.26380646567335614
London,2004.0,0.34092402315310727,0.07570085223855637,0.2652231709145509
London,2007.0,0.33867982523379137,0.07470087548660855,0.26397894974718283
London,2010.0,0.3235976428870025,0.06692577116248877,0.2566718717245137
London,2015.0,0.27715448815490784,0.06075916984821598,0.21639531830669187
Luton,2004.0,0.36329912398499953,0.10377361822171323,0.2595255057632863
Luton,2007.0,0.36577861165898945,0.11609321336558082,0.2496853982934086
Luton,2010.0,0.34393956942661436,0.10244705595359346,0.24149251347302086
Luton,2015.0,0.31003304344646043,0.08182356463772925,0.22820947880873121
Manchester,2004.0,0.3997455026429768,0.1014555475972928,0.298289955045684
Manchester,2007.0,0.40411957966691125,0.09582462980470507,0.3082949498622062
Manchester,2010.0,0.379372542545997,0.08731956236587075,0.2920529801801262
Manchester,2015.0,0.35120183772909347,0.08398232691772356,0.2672195108113699
Medway,2004.0,0.32471313359014703,0.07275773775247585,0.2519553958376712
Medway,2007.0,0.3152804804157199,0.0722742413719186,0.24300623904380125
Medway,2010.0,0.3091571879964547,0.07203542178988354,0.23712176620657113
Medway,2015.0,0.29541808977493855,0.06928920236744247,0.2261288874074961
Newcastle,2004.0,0.3566133527597612,0.0973251544884471,0.2592881982713141
Newcastle,2007.0,0.34910706226821486,0.09562302168393928,0.2534840405842756
Newcastle,2010.0,0.337799150975093,0.09125021749798488,0.2465489334771081
Newcastle,2015.0,0.32455901168048357,0.08665637479082201,0.23790263688966154
Nottingham,2004.0,0.38361543181341795,0.1006179774826903,0.28299745433072765
Nottingham,2007.0,0.36114084658782586,0.0885803159069878,0.2725605306808381
Nottingham,2010.0,0.3438941385620491,0.0772327302995027,0.2666614082625464
Nottingham,2015.0,0.33624679663356755,0.07808616797879246,0.25816062865477507
Oxford,2004.0,0.3276278334616379,0.07810976851563585,0.24951806494600204
Oxford,2007.0,0.3032383849260362,0.0736618881208218,0.22957649680521444
Oxford,2010.0,0.2944339425976809,0.06635388049095128,0.2280800621067296
Oxford,2015.0,0.2951859618443751,0.07308531417553514,0.22210064766884
Portsmouth,2004.0,0.3281731029806383,0.06959836181875892,0.2585747411618794
Portsmouth,2007.0,0.31797704909118746,0.06960953068845953,0.24836751840272792
Portsmouth,2010.0,0.31412953212927575,0.07444438607627747,0.23968514605299826
Portsmouth,2015.0,0.30711857457507163,0.0679389415446792,0.23917963303039244
Reading,2004.0,0.3613684823248965,0.10545565547563743,0.25591282684925903
Reading,2007.0,0.34168233435990825,0.0974673385557157,0.24421499580419256
Reading,2010.0,0.3402915470891116,0.0970535755859016,0.24323797150320994
Reading,2015.0,0.32222686766023934,0.09336579602726523,0.22886107163297412
Sheffield,2004.0,0.3856484552956219,0.08855637569342757,0.29709207960219436
Sheffield,2007.0,0.38983402840417636,0.0951023096885923,0.29473171871558407
Sheffield,2010.0,0.37709329563574845,0.08993141662999647,0.28716187900575196
Sheffield,2015.0,0.37188211766012336,0.08924138129275214,0.28264073636737125
Southampton,2004.0,0.3609596577599861,0.07829469936785914,0.282664958392127
Southampton,2007.0,0.3368631690607845,0.07178916532227676,0.26507400373850776
Southampton,2010.0,0.3348144569613302,0.07176442308682347,0.2630500338745067
Southampton,2015.0,0.32692216503939664,0.07198808226086079,0.25493408277853585
Southend,2004.0,0.34447283837329384,0.07584197799040998,0.26863086038288386
Southend,2007.0,0.32927175336094094,0.0720648083783462,0.2572069449825947
Southend,2010.0,0.32758422903238593,0.07329620166483772,0.25428802736754824
Southend,2015.0,0.3187207832505486,0.07289488674771624,0.24582589650283232
Warrington and Wigan,2004.0,0.3871359693866071,0.0742852227416306,0.31285074664497653
Warrington and Wigan,2007.0,0.38881149879985916,0.07418371450161991,0.31462778429823923
Warrington and Wigan,2010.0,0.377810588036509,0.07258976164027947,0.30522082639622955
Warrington and Wigan,2015.0,0.3581055451919877,0.06993555732793376,0.2881699878640539
Wolverhampton and Walsall,2004.0,0.34947752681171507,0.08656315197530108,0.26291437483641394
Wolverhampton and Walsall,2007.0,0.3495291683436149,0.07610506834196022,0.2734241000016547
Wolverhampton and Walsall,2010.0,0.3361931802130208,0.07314738827238962,0.2630457919406312
Wolverhampton and Walsall,2015.0,0.31698129894427557,0.06665105803145123,0.25033024091282435
