dz,place,distance,LSOA01NM,TTWA01CD,TTWA01CDO,TTWA01NM,LAD07CD,LAD07NM,area
S01001480,Glasgow,10306.780746078892,NA,S22000018,089,Glasgow,200,East Dunbartonshire,450117.33083281684
S01001481,Glasgow,10654.436003124036,NA,S22000018,089,Glasgow,200,East Dunbartonshire,1348810.6801583266
S01001482,Glasgow,9856.43904581049,NA,S22000018,089,Glasgow,200,East Dunbartonshire,128889.70195626085
S01001483,Glasgow,9155.173038719757,NA,S22000018,089,Glasgow,200,East Dunbartonshire,308846.1187688587
S01001484,Glasgow,8937.474351644318,NA,S22000018,089,Glasgow,200,East Dunbartonshire,608229.0054254859
S01001485,Glasgow,12436.825811614925,NA,S22000018,089,Glasgow,200,East Dunbartonshire,10216386.205046374
S01001486,Glasgow,9634.49609266539,NA,S22000018,089,Glasgow,200,East Dunbartonshire,246492.33504185532
S01001487,Glasgow,9831.185968743393,NA,S22000018,089,Glasgow,200,East Dunbartonshire,130659.00626480479
S01001488,Glasgow,10322.082786695864,NA,S22000018,089,Glasgow,200,East Dunbartonshire,151662.65042020334
S01001489,Glasgow,10031.295922429432,NA,S22000018,089,Glasgow,200,East Dunbartonshire,264500.70046967804
S01001490,Glasgow,10357.188297996538,NA,S22000018,089,Glasgow,200,East Dunbartonshire,297737.46894174727
S01001491,Glasgow,9275.781811983066,NA,S22000018,089,Glasgow,200,East Dunbartonshire,169045.85894684485
S01001492,Glasgow,11706.79495582249,NA,S22000018,089,Glasgow,200,East Dunbartonshire,594125.042861325
S01001493,Glasgow,11019.05523402991,NA,S22000018,089,Glasgow,200,East Dunbartonshire,141972.25585563865
S01001494,Glasgow,10669.917655608228,NA,S22000018,089,Glasgow,200,East Dunbartonshire,187859.78019164977
S01001495,Glasgow,9597.253331670257,NA,S22000018,089,Glasgow,200,East Dunbartonshire,181831.6535301281
S01001496,Glasgow,9851.008510757347,NA,S22000018,089,Glasgow,200,East Dunbartonshire,263578.7105068307
S01001497,Glasgow,10221.677383720418,NA,S22000018,089,Glasgow,200,East Dunbartonshire,300688.40208462626
S01001498,Glasgow,10603.62939845399,NA,S22000018,089,Glasgow,200,East Dunbartonshire,168098.1592157262
S01001499,Glasgow,8789.273651981248,NA,S22000018,089,Glasgow,200,East Dunbartonshire,5215934.010844208
S01001500,Glasgow,11204.997254325624,NA,S22000018,089,Glasgow,200,East Dunbartonshire,214506.0570559064
S01001501,Glasgow,9652.125033876016,NA,S22000018,089,Glasgow,200,East Dunbartonshire,247256.1712105277
S01001502,Glasgow,11629.144514688021,NA,S22000018,089,Glasgow,200,East Dunbartonshire,210135.95065145334
S01001503,Glasgow,11897.197369938458,NA,S22000018,089,Glasgow,200,East Dunbartonshire,106739.0649146263
S01001504,Glasgow,10932.480605799565,NA,S22000018,089,Glasgow,200,East Dunbartonshire,201661.22641064972
S01001505,Glasgow,10170.069797154387,NA,S22000018,089,Glasgow,200,East Dunbartonshire,335365.4880691824
S01001506,Glasgow,10685.217421426463,NA,S22000018,089,Glasgow,200,East Dunbartonshire,188211.25118465972
S01001507,Glasgow,10872.258259576054,NA,S22000018,089,Glasgow,200,East Dunbartonshire,303850.4499764779
S01001508,Glasgow,10422.195602353846,NA,S22000018,089,Glasgow,200,East Dunbartonshire,1129554.068573751
S01001509,Glasgow,11455.425200055935,NA,S22000018,089,Glasgow,200,East Dunbartonshire,149717.79001562437
S01001510,Glasgow,10610.029519303966,NA,S22000018,089,Glasgow,200,East Dunbartonshire,294619.54863286694
S01001511,Glasgow,10139.482665273565,NA,S22000018,089,Glasgow,200,East Dunbartonshire,249714.73408805154
S01001512,Glasgow,11687.272089811373,NA,S22000018,089,Glasgow,200,East Dunbartonshire,238585.8073447571
S01001513,Glasgow,11349.074791669595,NA,S22000018,089,Glasgow,200,East Dunbartonshire,127117.68613033833
S01001514,Glasgow,12217.083144092043,NA,S22000018,089,Glasgow,200,East Dunbartonshire,242959.0347403627
S01001515,Glasgow,10210.45462617421,NA,S22000018,089,Glasgow,200,East Dunbartonshire,207458.8873470854
S01001516,Glasgow,12100.942634492656,NA,S22000018,089,Glasgow,200,East Dunbartonshire,107274.73740275465
S01001517,Glasgow,10255.500116733,NA,S22000018,089,Glasgow,200,East Dunbartonshire,274994.04187894106
S01001518,Glasgow,10647.032907017057,NA,S22000018,089,Glasgow,200,East Dunbartonshire,236671.76112487575
S01001519,Glasgow,10125.432751035398,NA,S22000018,089,Glasgow,200,East Dunbartonshire,272611.2800438703
S01001520,Glasgow,12400.335653875978,NA,S22000018,089,Glasgow,200,East Dunbartonshire,109118.46077200331
S01001521,Glasgow,9719.176999689318,NA,S22000018,089,Glasgow,200,East Dunbartonshire,11571812.721586712
S01001522,Glasgow,11988.96684542691,NA,S22000018,089,Glasgow,200,East Dunbartonshire,484425.50611275045
S01001523,Glasgow,11155.04410159792,NA,S22000018,089,Glasgow,200,East Dunbartonshire,161040.87306594878
S01001524,Glasgow,12438.895311646718,NA,S22000018,089,Glasgow,200,East Dunbartonshire,121581.56054992744
S01001525,Glasgow,12775.267331236817,NA,S22000018,089,Glasgow,200,East Dunbartonshire,131983.7462318466
S01001526,Glasgow,11091.77114709248,NA,S22000018,089,Glasgow,200,East Dunbartonshire,187138.24629007227
S01001527,Glasgow,10803.320849221962,NA,S22000018,089,Glasgow,200,East Dunbartonshire,146806.96089784484
S01001528,Glasgow,9832.179660046982,NA,S22000018,089,Glasgow,200,East Dunbartonshire,6938355.880227578
S01001529,Glasgow,10738.946747052309,NA,S22000018,089,Glasgow,200,East Dunbartonshire,176504.99592223443
S01001530,Glasgow,11057.071098271668,NA,S22000018,089,Glasgow,200,East Dunbartonshire,127333.98551332465
S01001531,Glasgow,11808.05941706184,NA,S22000018,089,Glasgow,200,East Dunbartonshire,5267218.717043382
S01001532,Glasgow,10857.463115797085,NA,S22000018,089,Glasgow,200,East Dunbartonshire,344016.3807613161
S01001533,Glasgow,10623.144060191564,NA,S22000018,089,Glasgow,200,East Dunbartonshire,932857.4710806592
S01001534,Glasgow,11429.75268511309,NA,S22000018,089,Glasgow,200,East Dunbartonshire,131538.27271123137
S01001535,Glasgow,10564.717599682148,NA,S22000018,089,Glasgow,200,East Dunbartonshire,3027106.706222904
S01001536,Glasgow,14779.83471151718,NA,S22000018,089,Glasgow,200,East Dunbartonshire,413334.5818817172
