lsoa,place,distance,area
E01000073,London,17919.3739564752,284638.661412493
E01000074,London,18357.0920212721,164199.004354005
E01000075,London,18733.8254179185,517445.704587998
E01000076,London,18203.480509731,190556.353207501
E01000077,London,18808.752262779,173823.0753695
E01000078,London,19330.8779660391,175835.303225491
E01000079,London,19566.8171319811,309695.161587999
E01000080,London,19168.65675851,231326.031575508
E01000081,London,19672.5451684121,185772.118530999
E01000082,London,19812.7803618739,160704.544408504
E01000083,London,19094.0428096293,179943.533394998
E01000084,London,19869.4073672608,150025.422466998
E01000085,London,20182.7311168937,145381.348839998
E01000086,London,19850.110560203,140150.463015503
E01000087,London,20028.9850170656,372538.147303503
E01000088,London,20458.3395688941,226429.562957492
E01000089,London,20742.8985079581,145375.703557501
E01000090,London,20223.3873439861,1955041.81062249
E01000091,London,17149.065172331,246299.085431492
E01000092,London,16976.0646746724,2644827.580303
E01000093,London,16757.8591923457,293772.538351493
E01000094,London,17550.8485372512,602912.492044489
E01000095,London,18925.8658294682,2294750.73087449
E01000096,London,17740.9444399739,602409.852764002
E01000097,London,19488.4504832162,179121.716223504
E01000098,London,19257.267414722,175363.870358501
E01000099,London,19757.0997929821,309935.188037995
E01000100,London,19958.0945562237,211460.316653499
E01000101,London,20330.9431731853,163849.814969002
E01000102,London,19533.6905074574,252861.500089505
E01000103,London,21103.8404154637,701238.066989495
E01000104,London,21381.6509048456,220117.827155996
E01000105,London,20434.063198029,220863.023863004
E01000106,London,20839.5204866943,219422.791817495
E01000107,London,21992.3105155881,536098.87123799
E01000108,London,21415.2114589623,242129.689785006
E01000109,London,20278.18620058,375318.471005
E01000110,London,20969.0151113757,194571.439600505
E01000111,London,20705.7299537608,296696.448575995
E01000112,London,20241.6794347479,277472.132746497
E01000113,London,20017.9437019051,153919.561078504
E01000114,London,20793.2034435791,256103.918412502
E01000115,London,14584.3270932068,274046.322107001
E01000116,London,14322.7398729155,245204.617312501
E01000117,London,14309.4532661811,331128.592063998
E01000118,London,14016.1598933623,285471.082493504
E01000119,London,13868.8000604701,397471.414247501
E01000120,London,14125.7549956089,245131.274877999
E01000121,London,13601.3967653712,376062.001436498
E01000122,London,13433.9813368291,236113.718978999
E01000123,London,13126.200455493,527409.788690494
E01000124,London,12680.178927991,255657.774191
E01000125,London,14477.9570335562,307765.408131998
E01000126,London,13365.434236489,161420.947026503
E01000127,London,14160.1092558456,200548.29021
E01000128,London,13724.0001778432,246783.745100003
E01000129,London,13947.7049265614,171791.412988499
E01000130,London,13775.9525577363,171186.924270499
E01000131,London,13311.5147446964,336081.300086504
E01000132,London,14325.0362892554,153446.638354999
E01000133,London,13964.8254788543,155712.1154865
E01000134,London,14516.2226339983,159337.175857503
E01000135,London,8421.34650605974,330676.063163999
E01000136,London,7872.7797804747,520446.248743484
E01000137,London,7991.75439711402,122848.833488499
E01000138,London,8173.93473264378,261604.764795003
E01000139,London,7577.1703504383,350983.606919994
E01000140,London,7677.31980506117,146114.823834502
E01000141,London,8294.44302471215,370604.218728502
E01000142,London,8219.67753078075,199552.576219998
E01000143,London,7761.15479913256,174454.535155002
E01000144,London,8853.94692560792,198035.070422491
E01000145,London,8946.21438647501,207018.062873002
E01000146,London,8445.09050561829,206557.524069508
E01000147,London,12285.0587482404,202252.7155895
E01000148,London,12758.8810036749,234032.088750499
E01000150,London,11614.5762310889,464749.045951502
E01000151,London,13042.6243255616,142261.142331999
E01000152,London,13368.683042926,184865.227523502
E01000153,London,13491.9435818798,165065.560717999
E01000154,London,12865.0676022754,134768.282355998
E01000155,London,12888.9891231725,290469.385407999
E01000156,London,10647.4761308439,180024.8591255
E01000157,London,10937.9421790591,125814.154965994
E01000158,London,12575.5677847238,270370.243301998
E01000159,London,12739.3330126869,493361.699325509
E01000160,London,12057.6000407506,302463.072965997
E01000161,London,12116.2557152603,242455.995196503
E01000162,London,12003.2609316334,182302.115291005
E01000163,London,11440.214135657,191350.722359492
E01000164,London,11267.9180286052,547108.0223155
E01000165,London,11698.314582238,185098.955446506
E01000166,London,16655.0638183635,369605.719509496
E01000167,London,16940.6560396734,601883.23872451
E01000168,London,16075.756915901,313856.580996497
E01000169,London,16253.1790997449,238433.335678503
E01000170,London,15779.3456508506,296503.926134998
E01000171,London,16184.904205663,333122.794299999
E01000172,London,15267.1724595038,543850.612880483
E01000173,London,15206.9878030603,365611.742220503
E01000174,London,15331.7504549244,188547.5272665
E01000175,London,14824.9954470484,500739.286433999
E01000176,London,10535.6503633231,219751.901028512
E01000177,London,10074.9444575155,168742.339158498
E01000178,London,10268.6616902885,417623.678820491
E01000179,London,10348.5843215636,143854.443571497
E01000180,London,9721.37238355206,170599.075755004
E01000181,London,9752.52130553135,143119.857826498
E01000182,London,9372.99677013552,219354.207934495
E01000183,London,9796.93066890676,231243.346549498
E01000184,London,10936.7614418819,686046.716954002
E01000185,London,10422.2638816977,123622.184391009
E01000186,London,16262.0940074386,254915.998655003
E01000187,London,16490.5243330965,215769.968079497
E01000188,London,17467.801018521,3189216.2986385
E01000189,London,16723.9183226383,162052.822207501
E01000190,London,16310.4467794637,248343.687722498
E01000191,London,16194.9381077902,254356.188901503
E01000192,London,15639.297645592,284041.701818999
E01000193,London,15737.939066597,303890.367935997
