lsoa,place,distance,density,distance_decile
E01033620,Birmingham,0.0,0.0020756785209159697,1
E01033625,Birmingham,512.7794705365552,0.010439451394675081,1
E01033622,Birmingham,541.6237448326268,0.010995340584697337,1
E01033617,Birmingham,606.9028800675784,0.007433507863543614,1
E01033615,Birmingham,657.1155197102228,0.002691614538411135,1
E01033623,Birmingham,798.5828822942323,0.0054959646521508245,1
E01033616,Birmingham,818.8413622868318,0.008432014397312646,1
E01033557,Birmingham,866.2781412668027,0.01495894504884491,1
E01033565,Birmingham,912.1246748129848,0.0073028199922963305,1
E01033567,Birmingham,914.7750126307919,0.017630286389919102,1
E01033627,Birmingham,1038.8962185038029,0.003556261219137697,1
E01008914,Birmingham,1052.814943416748,0.004111900761500008,1
E01033561,Birmingham,1066.8700806294337,0.0024137816450198173,1
E01033624,Birmingham,1184.1129774217623,0.007503276500661623,1
E01009146,Birmingham,1209.0257033220962,0.009060676582590103,1
E01033619,Birmingham,1225.6803646811466,0.005662894324053838,1
E01033640,Birmingham,1233.8680658682197,0.0048631934079901434,1
E01033626,Birmingham,1275.8510086711913,0.018702133326704243,1
E01009378,Birmingham,1320.7929517226119,0.0030163368487068328,1
E01033618,Birmingham,1325.1000411736188,0.021340821577330724,1
E01033559,Birmingham,1357.0207132851851,0.0035856149031378622,1
E01033564,Birmingham,1535.2591430091186,0.014612315844555714,1
E01033639,Birmingham,1578.5507420265249,0.007437490664357937,1
E01009141,Birmingham,1593.6174857007056,0.006400258291303231,1
E01009200,Birmingham,1602.7278958480715,0.0023706792939492518,1
E01008913,Birmingham,1611.6718889765543,0.005521423857312472,1
E01008995,Birmingham,1665.26102401037,0.008373162331724486,1
E01008994,Birmingham,1670.2622715808561,0.0034187832378707226,1
E01008911,Birmingham,1686.9090317767325,0.00709342847037337,1
E01009347,Birmingham,1711.2664474091343,0.00473577896590369,1
E01009364,Birmingham,1791.3671127504276,0.004050335854759145,1
E01009362,Birmingham,1804.2104183458048,0.006242275298267096,1
E01009204,Birmingham,1860.4739185556748,0.0023694673492907726,1
E01033638,Birmingham,1899.9324396090317,0.0052304998815842505,1
E01008910,Birmingham,1910.3725167590474,0.0037632374770580385,1
E01009143,Birmingham,1947.7650094843896,0.005022240338585859,1
E01008996,Birmingham,1987.0407727932754,0.0065339670386436255,1
E01008909,Birmingham,2021.308404630553,0.007268516744794421,1
E01009348,Birmingham,2127.4712066056463,0.0035069421465272754,1
E01009199,Birmingham,2140.0514423298346,0.002437847904156433,1
E01009366,Birmingham,2248.295601181672,0.007286412345381846,1
E01008997,Birmingham,2252.193447803784,0.0024973221667368875,1
E01008906,Birmingham,2252.9663459422763,0.016217642607536168,1
E01009365,Birmingham,2285.385609996193,0.004532924487543645,1
E01033637,Birmingham,2322.097153229747,0.009229435303724344,1
E01008987,Birmingham,2342.742846379105,0.009809627270869349,1
E01009203,Birmingham,2342.98119986754,0.003196419179800861,1
E01009153,Birmingham,2353.0464059937017,0.0036325554612033034,1
E01009379,Birmingham,2366.9045774380515,0.004823327737625395,1
E01009374,Birmingham,2392.7525265205054,0.0053124457698223975,1
E01008984,Birmingham,2427.650945717582,0.008548802405697394,1
E01008905,Birmingham,2444.3636707579876,0.013453033774413762,1
E01009367,Birmingham,2444.7334203364994,0.004599245181154637,1
E01033628,Birmingham,2445.9437061595763,0.006550539200218895,1
E01008907,Birmingham,2478.922169343434,0.010133067493013662,1
E01008990,Birmingham,2511.527087461913,0.0016164338602709459,1
E01009358,Birmingham,2565.967279411301,0.005509610886257501,1
E01009363,Birmingham,2589.840614638145,0.0026018641282239824,1
E01009140,Birmingham,2618.450980551606,0.002394729438533967,1
E01033644,Birmingham,2655.8022316174333,0.0047872357241373065,1
E01008988,Birmingham,2693.4567869566345,0.005501138006821823,1
E01009360,Birmingham,2709.593743781522,0.005593393443898607,1
E01009332,Birmingham,2729.8332227738165,0.004697247099456744,1
E01008901,Birmingham,2740.8685244173876,0.001983249540103994,1
E01009062,Birmingham,2741.8486674965566,0.012643967566312217,1
E01033645,Birmingham,2810.274810807434,0.01012076877784337,1
E01009375,Birmingham,2820.1278150019257,0.011318668992898483,1
E01009047,Birmingham,2844.123167483817,0.009081723598761374,1
E01009345,Birmingham,2849.68056596483,0.0037871394869827763,1
E01008982,Birmingham,2853.379575743146,0.0034251356503266824,1
E01009368,Birmingham,2853.4479933578023,0.013695691270372365,1
E01009376,Birmingham,2858.4455000978473,0.007796377337537795,1
