"","dz","x","y"
"155","S01006660",393296.75132015,807904.15351319
"156","S01006661",393662.90130437,807866.33467262
"157","S01006662",393571.83812558,808232.61648744
"158","S01006663",394105.74103523,807903.97053562
"159","S01006664",393905.39552165,807673.67846152
"160","S01006665",394202.63947913,807594.55937052
"161","S01006666",395052.19665784,807842.70809138
"162","S01006667",394462.90392304,808169.18867603
"163","S01006668",394537.82430924,807934.97474994
"164","S01006669",394124.25679546,808209.2955222
"165","S01006670",394648.81548175,807645.2031272
"166","S01006671",394019.66584201,809128.8034965
"167","S01006672",394170.02362693,808494.66031068
"168","S01006673",394286.56212693,808750.84113031
"169","S01006674",394949.54655253,808915.18319245
"170","S01006675",393086.27764585,808812.89788446
"171","S01006676",393375.64475215,808891.81346243
"172","S01006677",393330.99807368,808534.78931728
"173","S01006678",393172.85020406,809233.70239114
"174","S01006679",392499.73602296,809117.2968977
"175","S01006680",392808.47355774,809234.82330412
"176","S01006681",391512.36512545,809385.5397882
"177","S01006682",392714.83110622,808600.98412292
"178","S01006683",392965.96465541,808514.93400792
"179","S01006684",392599.38143927,808883.89143308
"180","S01006685",391886.75819957,809014.54279934
"181","S01006686",391651.14993194,808714.11441917
"182","S01006687",391978.62254202,808646.33748835
"183","S01006688",392093.97115088,808135.83948487
"184","S01006689",392541.4998677,808192.34637737
"185","S01006690",392329.77826487,808405.81668766
"186","S01006691",392896.73559581,807942.50142311
"187","S01006692",392772.02779669,808127.25428294
"188","S01006693",392327.67948286,808746.40992325
"189","S01006694",391239.26941727,807251.86016171
"190","S01006695",391873.19574703,807796.55355578
"191","S01006696",391572.19835011,807807.67913468
"192","S01006697",391654.69265481,807498.93287655
"193","S01006698",391387.70169125,807430.65348062
"194","S01006699",392018.59195395,807835.20981635
"195","S01006700",392250.55753501,807610.45093934
"196","S01006701",389988.86770033,806873.58643392
"197","S01006702",390469.14023134,807565.79504985
"198","S01006703",390448.4861089,806962.77881102
"199","S01006704",390032.15243096,807196.9540721
"200","S01006705",390603.80026067,807377.56692088
"201","S01006706",390644.47507535,807219.29483749
"202","S01006707",390918.03087362,807080.58340297
"203","S01006708",389659.51848275,807022.2801638
"204","S01006709",389461.55508198,806786.51816358
"205","S01006710",389075.35032316,807038.29945508
"206","S01006711",389260.0900228,807203.59977894
"207","S01006712",389673.13139953,807365.47055202
"208","S01006713",390090.81370239,807596.40523195
"209","S01006714",391058.04611742,807693.73174523
"210","S01006715",390880.29139666,808224.98416259
"211","S01006716",391217.37010171,808068.626937
"212","S01006717",390676.07634523,807747.3116302
"213","S01006718",391450.03860823,808169.49386862
"214","S01006719",389788.96985543,808092.75713627
"215","S01006720",389738.49693717,808507.18996652
"216","S01006721",390053.636375,808240.73373517
"217","S01006722",390504.7052739,808028.45613409
"218","S01006723",390275.51076355,808062.17130779
"219","S01006724",390625.47972149,808540.61771617
"220","S01006725",390175.95191144,808520.31522288
"221","S01006726",391173.6062006,808882.38296541
"222","S01006727",390798.4423109,808873.32267848
"223","S01006728",390459.1424468,808971.24502969
"224","S01006729",391478.83992825,808558.94108092
"225","S01006730",390134.7937791,808824.74065062
"226","S01006731",389899.81476049,808806.13189254
"227","S01006732",385963.42667615,809119.49263016
"228","S01006733",386809.06493576,807856.25298644
"229","S01006734",386400.65367918,807523.61419604
"230","S01006735",386608.78409362,807127.51878542
"231","S01006736",387322.07060354,807800.40517639
"232","S01006737",387769.08892322,806882.22647869
"233","S01006738",389765.57344465,809831.95418477
"234","S01006739",390450.71409643,809472.10915909
"235","S01006740",389185.67721277,809418.59884243
"236","S01006741",388750.88572994,809207.59817712
"237","S01006742",388588.83561991,809023.01228302
"238","S01006743",389434.51646296,810840.59796988
"239","S01006744",389078.45072758,810240.26578716
"240","S01006745",389146.71419383,809832.83384771
"241","S01006746",388606.23585921,809535.60585101
"242","S01006747",388429.67959172,810203.20087189
"243","S01006748",387997.6648423,812404.15374694
"244","S01006749",389390.59755986,813072.44092878
"245","S01006750",389300.31885419,813355.29493284
"246","S01006751",388779.97286918,813184.31314997
"247","S01006752",389009.49795732,813113.9588369
"248","S01006753",388808.14122508,812740.27364104
"249","S01006754",389251.2804401,812575.13250539
"250","S01006755",385773.65590384,813465.19295367
"251","S01006756",392450.45734099,809473.46368619
"252","S01006757",391722.35181794,810174.23365585
"253","S01006758",391938.87318042,810003.95079882
"254","S01006759",391975.71202065,809787.63621148
"255","S01006760",391994.55944157,810341.54429837
"256","S01006761",391260.07413551,810027.58223578
"257","S01006762",391026.99642262,811907.10662508
"258","S01006763",392650.17426311,812177.21195647
"259","S01006764",392331.18849024,811508.67926197
"260","S01006765",392164.19153337,811690.27856529
"261","S01006766",392301.75506451,812073.94112017
"262","S01006767",392488.5836111,810861.285587
"263","S01006768",392479.16491462,810538.78685036
"264","S01006769",392896.80570092,810746.06847984
"265","S01006770",393189.16206425,810916.47514184
"266","S01006771",393158.83487855,811403.92658128
"267","S01006772",393460.59526828,811135.81979195
"268","S01006773",392737.73573711,811426.80010053
"269","S01006774",392891.34111412,811532.49219527
"270","S01006775",392870.2730178,809977.90465173
"271","S01006776",393491.30978713,810100.80123274
"272","S01006777",393307.78646405,810630.12238737
"273","S01006778",393299.57300911,810429.35693567
"274","S01006779",394018.7914572,810006.07580618
"275","S01006780",393753.51340951,809566.65930041
"276","S01006781",393784.30700207,810418.30714701
"277","S01006782",394551.49997723,810557.51319658
"278","S01006783",394287.67232873,810196.90185872
"279","S01006784",394726.23828418,809606.61185213
"280","S01006785",393875.64557609,812092.95244587
"281","S01006786",394041.0734989,811601.38033517
"282","S01006787",394121.28090393,811282.50419031
"283","S01006788",394316.40142365,812871.37744617
"284","S01006789",336578.91505921,795836.67166736
"285","S01006790",337081.45016061,796089.28079916
"286","S01006791",327815.43456121,807983.59313382
"287","S01006792",332329.27720346,792355.84219928
"288","S01006793",308404.44469989,789690.49215993
"289","S01006794",351988.09662698,798122.31119197
"290","S01006795",352090.87516033,798458.03149819
"291","S01006796",349828.55111417,800855.65028535
"292","S01006797",347856.4081949,793701.49518387
"293","S01006798",357582.08288878,791950.66491778
"294","S01006799",353374.1755549,798865.15344378
"295","S01006800",363918.06706055,786519.58056483
"296","S01006801",370651.0191368,773091.54239542
"297","S01006802",364409.4121564,775815.2137003
"298","S01006803",371127.32332054,770881.56467879
"299","S01006804",371236.42922253,771343.16456624
"300","S01006805",374627.68015962,769585.43734082
"301","S01006806",368593.76713991,767845.99202499
"302","S01006807",362621.08151893,769906.58996684
"303","S01006808",374114.91255682,765477.98112993
"304","S01006809",373594.89384726,763515.18326852
"305","S01006810",379370.9281973,769431.24242875
"306","S01006811",371409.3934323,780666.73096509
"307","S01006812",377555.64860028,775927.77971213
"308","S01006813",382641.90522567,770963.34749475
"309","S01006814",382721.43283113,772238.29684405
"310","S01006815",382763.76275021,772639.4866344
"311","S01006816",383139.40288942,772399.64894597
"312","S01006817",383071.74011998,774567.9842118
"313","S01006818",377801.47335351,783158.3061267
"314","S01006819",384959.73260771,781524.80225733
"315","S01006820",388988.03434853,791517.29032281
"316","S01006821",388498.76983132,794633.82122268
"317","S01006822",382993.67490045,789254.95638701
"318","S01006823",386606.35521133,785564.57010633
"319","S01006824",386357.3328203,785897.60832401
"320","S01006825",386040.76458333,785698.63723259
"321","S01006826",385795.36067673,786015.47186475
"322","S01006827",386779.71280446,785854.78083645
"323","S01006828",387539.36260674,785515.70146366
"324","S01006829",387153.51827825,785200.19674889
"325","S01006830",385975.3733179,786625.93963183
"326","S01006831",386353.02078421,786485.28029518
"327","S01006832",386813.80678567,786123.22924435
"328","S01006833",387012.85383982,786336.81800532
"329","S01006834",386295.67587487,787021.83208586
"330","S01006835",387541.08089185,786307.14346008
"331","S01006836",387191.49245741,786860.20793043
"332","S01006837",386366.48112309,786771.30623268
"333","S01006838",385751.58318765,786382.82028814
"334","S01006839",391175.2036338,793434.28744809
"335","S01006840",390675.12282157,793317.84737368
"336","S01006841",390873.64863647,793969.4123359
"337","S01006842",391807.83564798,796834.09192188
"338","S01006843",391419.64938187,796619.53718214
"339","S01006844",391514.87373136,796283.2324119
"340","S01006845",391464.45470567,795757.36201275
"341","S01006846",391605.13903386,795936.50298451
"342","S01006847",391793.1651832,796146.7621045
"343","S01006848",391420.71214843,799942.74072623
"344","S01006849",391920.00403421,797936.06382765
"345","S01006850",392373.34984714,797259.18013805
"346","S01006851",392155.66853955,797064.30123469
"347","S01006852",392875.19201547,796331.9402843
"348","S01006853",385872.4448847,798431.43498266
"349","S01006854",379196.71371581,798910.45475931
"350","S01006855",376570.07801898,793450.38104349
"351","S01006856",375755.35857442,809609.99584522
"352","S01006857",375908.92562292,802881.38371439
"353","S01006858",367226.41003663,807472.25036512
"354","S01006859",370559.57547748,796421.61426049
"355","S01006860",370390.85230954,796079.86094989
"356","S01006861",371565.55762801,796834.89881524
"357","S01006862",370779.55194987,795896.81684616
"358","S01006863",371345.65312005,796349.94947431
"359","S01006864",370910.33622411,796711.32653673
"360","S01006865",369811.15769184,795690.37021729
"361","S01006866",369809.69562919,796124.58338707
"362","S01006867",369049.82518691,796116.97237829
"363","S01006868",370033.70152207,796401.6359047
"364","S01006869",359875.67308213,800318.19097111
"365","S01006870",362461.18235295,802005.19406331
"366","S01006871",362528.35743002,801478.01244992
"367","S01006872",372912.52635586,797960.5044953
"368","S01006873",366845.43567114,799752.3487268
"369","S01006874",362164.30242272,804593.48947622
"370","S01006875",348119.5344357,804621.57173461
"371","S01006876",356341.93409727,804957.26049468
"372","S01006877",351872.30644009,813150.29977238
"373","S01006878",344379.72630355,817461.95477173
"374","S01006879",343838.7755154,804187.71375562
"375","S01006880",371584.66962039,811877.66192644
"376","S01006881",363153.04420632,811976.1690312
"377","S01006882",357349.10103076,816260.78932977
"378","S01006883",357747.97584315,815732.86770773
"379","S01006884",357860.53516287,816144.19739984
"380","S01006885",355015.22715489,815666.25398146
"381","S01006886",367137.26242855,816937.2916471
"382","S01006887",360565.61210865,815967.42838521
"383","S01006888",362920.57440938,822302.88285603
"384","S01006889",372886.11658417,816567.18098871
"385","S01006890",372903.5732323,815899.34147509
"386","S01006891",373454.6478278,815983.50644682
"387","S01006892",373612.86075976,816355.20685878
"388","S01006893",373287.16706322,816689.31101214
"389","S01006894",376596.91712567,821504.66992018
"390","S01006895",376898.35731552,822423.62195201
"391","S01006896",376531.20841993,821981.50480001
"392","S01006897",376569.68903194,822234.64292183
"393","S01006898",376048.32323004,821947.31207358
"394","S01006899",375997.82942901,822689.9771933
"395","S01006900",376232.08839996,822711.91735651
"396","S01006901",376483.17924728,822626.32855524
"397","S01006902",376885.3743708,821012.74631057
"398","S01006903",377770.62628573,819974.32894028
"399","S01006904",377850.80451863,820531.09307425
"400","S01006905",377409.71527541,820888.00144155
"401","S01006906",377090.9268972,821223.11974757
"402","S01006907",377546.00646894,821697.68925547
"403","S01006908",377122.85064309,821857.24314599
"404","S01006909",373305.60029211,821790.8289112
"405","S01006910",372712.39184396,816898.01207063
"406","S01006911",377540.52735809,822548.37225543
"407","S01006912",377695.73510298,820723.41735794
"408","S01006913",376193.85785939,823707.10788605
"409","S01006914",371583.79626261,823943.6468732
"410","S01006915",371006.34022317,829831.995996
"411","S01006916",379173.37525421,815177.99392393
"412","S01006917",378671.62194661,815683.27557475
"413","S01006918",379091.34684517,815906.01521434
"414","S01006919",379525.42063824,816017.69602204
"415","S01006920",379044.00259827,816322.43095837
"416","S01006921",378669.49333265,816155.67277626
"417","S01006922",376584.36632878,813696.95598751
"418","S01006923",377231.32123357,816952.54390321
"419","S01006924",381720.2063275,818837.96257292
"420","S01006925",382726.15486881,813012.96546077
"421","S01006926",382487.05771748,812991.53226243
"422","S01006927",382770.34359183,813458.17073896
"423","S01006928",380981.94295771,812345.06307581
"424","S01006929",382826.55800276,807892.48346141
"425","S01006930",383396.15721353,807610.43029407
"426","S01006931",379978.60691443,805877.24321445
"427","S01006932",381736.52881085,807730.62130567
"428","S01006933",382940.26566303,807503.67540089
"429","S01006934",381683.88939446,808780.46102713
"430","S01006935",383632.01469937,807233.01000726
"431","S01006936",383520.49614194,806931.07312073
"432","S01006937",382755.7122854,806772.39361052
"433","S01006938",382215.06422272,806904.83671515
"434","S01006939",382426.66965816,807356.66177782
"435","S01006940",382840.71144086,807147.46130171
"436","S01006941",382823.55664544,806365.28615228
"437","S01006942",381424.17164183,807005.58929324
"438","S01006943",381726.95517077,806564.74786092
"439","S01006944",381391.47855465,806594.86710588
"440","S01006945",381894.3398962,807237.63912568
"441","S01006946",389706.96849281,820842.20434093
"442","S01006947",388501.52505966,819823.00473323
"443","S01006948",385915.81215228,819179.63313498
"444","S01006949",385968.98625573,816844.92047491
"445","S01006950",390544.19575014,818986.87703662
"446","S01006951",388974.3198182,819105.85600931
"447","S01006952",391062.089986,815873.69285189
"448","S01006953",395119.87009807,816944.40247509
"449","S01006954",395888.55397176,815445.12166012
"450","S01006955",396845.38401814,817558.00192117
"451","S01006956",396672.90345382,817381.63444841
"452","S01006957",393511.74107854,819631.71818856
"453","S01006958",396453.95528004,830747.08594474
"454","S01006959",395461.48824024,830486.15859947
"455","S01006960",395935.00257543,831394.41705654
"456","S01006961",396345.02947044,831338.55506194
"457","S01006962",395590.00005929,830047.17623415
"458","S01006963",395103.1329537,829954.62701492
"459","S01006964",394710.7388105,829940.32591471
"460","S01006965",394611.07191964,830565.12054409
"461","S01006966",394143.50030501,831034.79835801
"462","S01006967",394199.14105771,831271.5904827
"463","S01006968",394626.91207297,831177.0591873
"464","S01006969",394720.90588507,831280.50485915
"465","S01006970",395439.19605146,831158.54767038
"466","S01006971",395089.9071265,830685.39702335
"467","S01006972",397309.97652079,822399.38500373
"468","S01006973",398513.62260775,825167.7409108
"469","S01006974",399908.86564878,825627.04781544
"470","S01006975",402004.74364815,835536.51251929
"471","S01006976",393180.2975247,833507.99425398
"472","S01006977",397384.4283295,831420.45678866
"473","S01006978",385164.29258851,836903.43878975
"474","S01006979",386167.03698282,829936.24740734
"475","S01006980",388178.31878738,832932.62047218
"476","S01006981",391990.84134872,824716.58739758
"477","S01006982",390068.15016989,826800.33697485
"478","S01006983",389872.00566434,828902.29361769
"479","S01006984",386903.95543011,823926.67044253
"480","S01006985",380535.32894331,827017.52720953
"481","S01006986",380716.9127283,827532.66484393
"482","S01006987",381128.66835362,827436.79161583
"483","S01006988",381836.3815828,825583.79294797
"484","S01006989",375870.25093027,828615.22776631
"485","S01006990",383206.9761001,829090.48711148
"486","S01006991",376260.39838635,837769.90434837
"487","S01006992",380247.94566183,833273.46251809
"488","S01006993",380373.10063893,842747.69576782
"489","S01006994",377616.48329325,837196.91792265
"490","S01006995",373315.56504792,835952.99523079
"491","S01006996",372149.54018211,835864.0113812
"492","S01006997",367968.89740018,827824.50435516
"493","S01006998",362492.06856871,831437.93892484
"494","S01006999",364976.1656181,838340.96655204
"495","S01007000",363836.27322536,826608.60447422
"496","S01007001",363061.51425192,827872.75495605
"497","S01007002",353060.98306222,842590.4639476
"498","S01007003",356332.50824013,838021.33421667
"499","S01007004",354923.80213053,827079.97864199
"500","S01007005",356333.12452806,821919.74340146
"501","S01007006",348095.47024109,831720.58124091
"502","S01007007",346059.03186337,841851.45936147
"503","S01007008",352682.29527331,840265.56149015
"504","S01007009",353461.11883414,839759.41729098
"505","S01007010",352886.98089265,839541.20668707
"506","S01007011",352697.50452912,839794.18699078
"507","S01007012",352170.42966145,839751.9431381
"508","S01007013",375098.7452835,850277.36934258
"509","S01007014",369165.7282737,849870.29507627
"510","S01007015",363475.30157214,845528.04805817
"511","S01007016",372146.34702284,842947.4881945
"512","S01007017",372224.22661267,850085.5129709
"513","S01007018",371900.45771876,850352.43271265
"514","S01007019",372627.56020372,850279.49740525
"515","S01007020",372605.46558627,849596.18570897
"516","S01007021",373151.79705278,849991.97027708
"517","S01007022",373367.99558921,849640.14913011
"518","S01007023",359443.21596291,863946.36670292
"519","S01007024",356143.3659559,858320.21562086
"520","S01007025",358566.80003861,866026.4681509
"521","S01007026",358898.59156292,865806.99371248
"522","S01007027",365585.80232392,865391.84717048
"523","S01007028",365120.80169505,860846.50042024
"524","S01007029",364170.76434038,855755.76648875
"525","S01007030",362870.51170387,852739.37839535
"526","S01007031",362324.8269621,850387.59601821
"527","S01007032",368832.61064081,864203.1902026
"528","S01007033",368172.93681727,864185.89871589
"529","S01007034",368573.2121379,864214.11821363
"530","S01007035",368344.19430433,863889.41710223
"531","S01007036",368406.15268459,863524.86660285
"532","S01007037",370877.39524987,863896.55741962
"533","S01007038",370623.48598045,864632.7580058
"534","S01007039",371126.30571114,864585.63317307
"535","S01007040",371239.80895034,864205.15724626
"536","S01007041",370300.72632413,864321.89022318
"537","S01007042",378842.35144423,853226.75825624
"538","S01007043",372732.39354831,858921.99095968
"539","S01007044",380136.28563911,864534.32194358
"540","S01007045",379727.28589462,861160.89349854
"541","S01007046",387466.8717893,862776.13089945
"542","S01007047",387306.07477457,856210.49696152
"543","S01007048",380843.44030117,850103.10360157
"544","S01007049",388267.49572638,855803.15470378
"545","S01007050",388553.84292092,846982.25928904
"546","S01007051",392132.16535906,847850.36226534
"547","S01007052",397729.6395169,850262.55164006
"548","S01007053",392304.72124698,848595.86182517
"549","S01007054",394741.42895096,855233.32098469
"550","S01007055",395476.70911667,855745.07687843
"551","S01007056",387105.50042907,848518.68596659
"552","S01007057",400330.75245368,847757.63880433
"553","S01007058",400115.80635467,848154.71755446
"554","S01007059",399144.22103999,848281.0508287
"555","S01007060",399735.56796394,848102.40186482
"556","S01007061",393752.31464979,839652.69678043
"557","S01007062",387752.59000529,842094.47951459
"558","S01007063",397331.76956206,845952.65381444
"559","S01007064",397517.14960339,845566.27011562
"560","S01007065",405557.67764095,835339.21551324
"561","S01007066",407545.25856396,839259.69269628
"562","S01007067",409035.4573564,836674.44037363
"563","S01007068",408612.95847315,836261.98373612
"564","S01007069",412429.93856836,841483.06592124
"565","S01007070",413413.54728859,842478.64365939
"566","S01007071",404884.50171875,837212.48465303
"567","S01007072",411677.0295063,844207.10981367
"568","S01007073",412522.21696913,844602.34032916
"569","S01007074",412043.90923505,845444.55203791
"570","S01007075",411720.19409658,845547.71981737
"571","S01007076",411788.86153536,845210.71412031
"572","S01007077",411484.18687714,845640.96254139
"573","S01007078",411859.73260109,845941.08001189
"574","S01007079",412147.2776743,846193.97974903
"575","S01007080",412461.76385598,845799.54046517
"576","S01007081",412435.98664711,847040.56278956
"577","S01007082",412686.49562775,847110.60142368
"578","S01007083",412330.94057878,846669.25760381
"579","S01007084",412596.68767512,846403.09172892
"580","S01007085",412992.05593652,846212.95814482
"581","S01007086",413279.04611058,846348.28374794
"582","S01007087",413676.19901943,846192.26809152
"583","S01007088",412903.93198845,846917.01150458
"584","S01007089",411129.53587259,847560.10807734
"585","S01007090",411564.89427623,846854.23421938
"586","S01007091",411125.58643131,846123.38075887
"587","S01007092",411223.21147244,846583.51973922
"588","S01007093",411519.51438766,846251.38753137
"589","S01007094",411985.21864447,847158.4819255
"590","S01007095",401705.54028927,851590.97305479
"591","S01007096",404847.48882874,844652.83935622
"592","S01007097",410013.27189132,843746.53116535
"593","S01007098",409408.06681794,848286.2448212
"594","S01007099",408230.61414029,851294.52680462
"595","S01007100",404901.86799574,849837.23644924
"596","S01007101",405191.28638071,856697.13383933
"597","S01007102",405565.31017013,856343.07498325
"598","S01007103",404059.76393494,864853.6070023
"599","S01007104",403139.17687301,862304.29282372
"600","S01007105",404045.10514759,865255.7641854
"601","S01007106",405002.26130049,863970.03065396
"602","S01007107",398016.8389463,860485.91770528
"603","S01007108",394319.97965277,864107.09239844
"604","S01007109",396303.83943301,867407.30446425
"605","S01007110",393121.60240042,867221.08721598
"606","S01007111",393003.66082119,867592.50074836
"607","S01007112",399718.5733496,865803.2268073
"608","S01007113",399598.72627957,866397.28582576
"609","S01007114",399083.57095187,865818.93522121
"610","S01007115",398586.68804474,865619.08688868
"611","S01007116",398482.08078666,865238.95341283
"612","S01007117",399168.31207679,865440.89736045
"613","S01007118",398642.9099977,865938.32719073
"614","S01007119",398425.14231782,866064.80036337
"615","S01007120",398453.19729604,866542.32435345
"616","S01007121",399576.29888925,866943.25479465
"617","S01007122",399361.35619665,866647.51301955
"618","S01007123",399095.41943584,866455.15156804
"619","S01007124",399056.77883547,866140.95490895
"620","S01007125",398705.85979968,867139.65226524
"621","S01007126",399050.04058418,867036.17186459
"622","S01007127",399844.40341348,866922.92354123
"623","S01007128",398851.57296591,866753.64685784
"624","S01007129",332351.03797457,733193.06879167
"625","S01007130",334214.14156638,734589.50149605
"626","S01007131",334889.23117786,734665.274472
"627","S01007132",335184.24958016,734090.91166012
"628","S01007133",336713.97027801,736620.91709674
"629","S01007134",340261.49171138,737856.4977763
"630","S01007135",333731.5629304,738757.7441757
"631","S01007136",329736.35346504,736352.60032689
"632","S01007137",344744.77373175,734250.52072513
"633","S01007138",344298.35983061,735735.36967049
"634","S01007139",347108.38651929,736974.3574869
"635","S01007140",350457.65292877,739234.21948231
"636","S01007141",349510.23184303,734940.24633893
