"","dz","x","y"
"1","S01006506",382984.60687564,799525.10378149
"2","S01006507",383549.75380724,801336.99936693
"3","S01006508",383470.15593979,800912.82115772
"4","S01006509",383878.71715641,800986.18637901
"5","S01006510",384158.88160595,800890.20348674
"6","S01006511",384519.48452934,800990.341752
"7","S01006512",381068.02393367,802828.71304789
"8","S01006513",386315.47971162,801956.17117231
"9","S01006514",385605.91797,801115.78596425
"10","S01006515",384750.99313179,802692.57980764
"11","S01006516",386950.08480706,801888.72296085
"12","S01006517",385693.36060495,804516.64479865
"13","S01006518",387629.44205529,802608.59894642
"14","S01006519",388147.46508095,802858.63245253
"15","S01006520",387610.60138636,802993.74332616
"16","S01006521",390481.97773633,803136.33133532
"17","S01006522",389530.26063047,803600.97041776
"18","S01006523",389503.01185634,803105.40723675
"19","S01006524",388642.99536215,802201.86587482
"20","S01006525",388655.37771846,802905.26493318
"21","S01006526",391292.52163256,803461.11556356
"22","S01006527",391284.76431301,803282.57927056
"23","S01006528",391767.76899794,803247.204276
"24","S01006529",392545.40276448,803616.16442539
"25","S01006530",392290.60415036,803597.27650356
"26","S01006531",391982.24745539,803631.4709246
"27","S01006532",392530.31085328,804289.47686583
"28","S01006533",392142.73180219,804574.84006757
"29","S01006534",392560.78208658,804708.21395356
"30","S01006535",392900.95994267,804710.17779946
"31","S01006536",392999.43077626,805142.13894652
"32","S01006537",391033.01272778,804007.85013982
"33","S01006538",391311.14436283,803743.96669979
"34","S01006539",392109.53686766,804190.90471663
"35","S01006540",391712.90769481,804151.85915535
"36","S01006541",391275.75390196,804418.54397754
"37","S01006542",390648.809497,804683.82508083
"38","S01006543",390617.65190779,804301.67349272
"39","S01006544",391222.83300755,805308.34006234
"40","S01006545",391656.9467968,804797.7652533
"41","S01006546",391184.27709451,804934.49563653
"42","S01006547",388592.64207138,804932.53894156
"43","S01006548",390224.42375399,805066.11066816
"44","S01006549",390925.1899476,805722.9086583
"45","S01006550",390518.7814942,805313.61134734
"46","S01006551",389607.25184135,805346.09249479
"47","S01006552",390052.76579002,806085.49271773
"48","S01006553",390680.63727363,806258.3035242
"49","S01006554",390914.20852789,806509.75798234
"50","S01006555",389757.2936554,806424.55588475
"51","S01006556",390336.40532851,806404.8837852
"52","S01006557",389380.83365568,806591.47610012
"53","S01006558",392675.62122616,806747.30006286
"54","S01006559",392406.78493212,806356.98693375
"55","S01006560",392034.0920963,806435.6664886
"56","S01006561",391992.65508417,806672.69716067
"57","S01006562",391455.78289554,806560.98657323
"58","S01006563",391911.0917349,807049.16778989
"59","S01006564",393238.34967367,806305.16726103
"60","S01006565",393490.07693737,806613.9193484
"61","S01006566",393074.43776702,806772.750765
"62","S01006567",393239.25552666,806533.1461766
"63","S01006568",392969.26876346,806421.27744029
"64","S01006569",392774.05005982,806546.79434018
"65","S01006570",392662.46018103,806272.31558705
"66","S01006571",392716.05336532,805850.58970661
"67","S01006572",391488.58664746,806047.34215376
"68","S01006573",392097.97630895,806109.07965832
"69","S01006574",391905.2398089,805714.52845083
"70","S01006575",392315.36546461,805067.75253063
"71","S01006576",392622.95477998,805201.77873305
"72","S01006577",392347.14020042,805439.61168964
"73","S01006578",392852.94172947,805467.48636925
"74","S01006579",393053.24578415,805474.72213554
"75","S01006580",392694.0051061,805583.86266031
"76","S01006581",391921.28357982,805150.81141167
"77","S01006582",393603.8647299,805744.53988261
"78","S01006583",393412.71467902,805532.25605289
"79","S01006584",393120.57318398,806055.38966093
"80","S01006585",393427.83216407,806005.33763557
"81","S01006586",393806.42390067,806250.6408755
"82","S01006587",394540.04078214,805715.47713358
"83","S01006588",394160.11228516,806108.02184183
"84","S01006589",394524.70330793,806314.06524947
"85","S01006590",393893.30744585,805751.03791175
"86","S01006591",393930.3252382,805499.50628379
"87","S01006592",394156.64936904,805027.07664702
"88","S01006593",393980.09894439,805267.63080584
"89","S01006594",393307.19028492,804990.71583103
"90","S01006595",393442.5530271,805300.17722429
"91","S01006596",393712.68455956,805262.75028896
"92","S01006597",393235.62414445,805266.57836378
"93","S01006598",393963.20383071,804631.34051641
"94","S01006599",392797.60990277,804121.94392976
"95","S01006600",393316.37056785,804347.63113618
"96","S01006601",393279.7750287,804736.98923817
"97","S01006602",393636.47767112,804844.17223965
"98","S01006603",393067.01231179,802926.43296347
"99","S01006604",393355.95580583,803418.09873013
"100","S01006605",393571.98737861,803278.1011871
"101","S01006606",393143.24209907,803598.03179024
"102","S01006607",393988.7114719,803536.02139085
"103","S01006608",393837.27804523,801307.0442635
"104","S01006609",394138.56707475,803158.86605826
"105","S01006610",393679.64680331,803014.01723178
"106","S01006611",393363.62886752,802905.71200098
"107","S01006612",393159.70151622,802382.9068682
"108","S01006613",394355.08792663,800804.33098084
"109","S01006614",394820.73950207,800451.22697113
"110","S01006615",394083.70766531,800455.50392826
"111","S01006616",394845.76940283,800790.75002891
"112","S01006617",395151.90989298,801036.47182041
"113","S01006618",394747.69647643,801122.74092503
"114","S01006619",395634.18963193,801537.8948902
"115","S01006620",395034.38902088,801598.47270255
"116","S01006621",394789.35139533,801765.3644452
"117","S01006622",394653.8467838,801521.99077309
"118","S01006623",395567.01179852,803423.4620775
"119","S01006624",394494.21888152,804752.34502097
"120","S01006625",394740.61164896,804730.70329761
"121","S01006626",394968.7875223,804851.387906
"122","S01006627",394929.08652503,805225.08305612
"123","S01006628",394759.75955907,805165.4816774
"124","S01006629",394838.68357605,804506.41132377
"125","S01006630",394791.76174173,804305.38382515
"126","S01006631",396314.24169797,805323.76160202
"127","S01006632",395259.5755775,804892.80294513
"128","S01006633",395287.3670945,804562.15485987
"129","S01006634",395752.69165671,804656.77473427
"130","S01006635",395452.0923406,804892.74714003
"131","S01006636",395901.85835449,804940.71177834
"132","S01006637",395161.75083125,806260.86691242
"133","S01006638",394615.63141093,806890.29610119
"134","S01006639",394516.80330355,806650.29872965
"135","S01006640",395240.77152628,806672.9402947
"136","S01006641",394790.2591531,807063.39120359
"137","S01006642",394250.9768404,807016.67286962
"138","S01006643",394470.83621303,807143.99120324
"139","S01006644",394634.79991312,807355.55948165
"140","S01006645",393851.21045398,806948.61612678
"141","S01006646",394099.92921072,806602.55413181
"142","S01006647",394157.68190368,806748.19024528
"143","S01006648",393704.13501187,806689.28364355
"144","S01006649",393509.66292204,807122.086332
"145","S01006650",393348.43722427,807375.75444588
"146","S01006651",393660.39816452,807323.4887689
"147","S01006652",393861.12242234,807103.25966975
"148","S01006653",393034.22904228,807526.76469451
"149","S01006654",392665.74631715,807651.94832995
"150","S01006655",392795.78743792,807177.6100539
"151","S01006656",393279.27807883,806983.09105341
"152","S01006657",393136.20404428,807975.11355652
"153","S01006658",393812.66391215,807463.07780499
"154","S01006659",393517.66042461,807630.92460861
