dz,place,distance,area
S01007929,Glasgow,24279.085601798673,46242268.05523584
S01007930,Glasgow,24080.479544314367,38186763.36125169
S01007931,Glasgow,24125.51827403343,360926.41002749774
S01007932,Glasgow,25462.29663816651,302669.1159989958
S01007933,Glasgow,25058.7750787687,227280.69159449748
S01007934,Glasgow,25496.3141181879,156806.87221749654
S01007935,Glasgow,25866.366318063167,241802.33828900207
S01007936,Glasgow,25939.710528092164,320340.59729500127
S01007937,Glasgow,25952.043810242627,271453.15428651316
S01007938,Glasgow,26209.694397909294,166500.94282899564
S01007939,Glasgow,26552.669196806295,203995.66100000707
S01008033,Glasgow,12787.801182861598,17178100.74500023
S01008034,Glasgow,10895.779376756327,161040.84882400543
S01008035,Glasgow,10832.531369168155,188241.2783675023
S01008036,Glasgow,11161.09179876015,129268.59282100329
S01008037,Glasgow,10396.034329450431,238540.49973900002
S01008038,Glasgow,10812.71214228286,117278.64521450679
S01008039,Glasgow,10612.440287452222,179277.55927250252
S01008040,Glasgow,11505.234401974796,3585624.1282347483
S01008041,Glasgow,10477.107014819265,174712.60259950033
S01008042,Glasgow,10602.042739501216,350308.8656694976
S01008043,Glasgow,10454.627214983482,584197.3334095071
S01008044,Glasgow,9864.633705359585,275155.0925375039
S01008045,Glasgow,9283.581997598307,12566199.202834494
S01008046,Glasgow,9992.069421011824,283296.0199585104
S01008047,Glasgow,9955.591940784021,211547.5846129924
S01008048,Glasgow,9879.523440683231,249714.63948000042
S01008049,Glasgow,9372.314390191264,269427.51627549564
S01008050,Glasgow,9337.896421963356,181831.47367549886
S01008051,Glasgow,9015.596728143875,169216.00640000202
S01008052,Glasgow,8677.382826559999,608059.0431065044
S01008053,Glasgow,8326.955077310698,158254.24047549674
S01008054,Glasgow,8530.222726730075,385392.55090848525
S01008055,Glasgow,8896.778187369397,308730.9806865108
S01008056,Glasgow,9377.237850064617,246398.5420400032
S01008057,Glasgow,9592.667977195966,263672.5155619922
S01008058,Glasgow,10616.182721115187,303850.101203998
S01008059,Glasgow,10349.197950473785,168076.6849724999
S01008060,Glasgow,10147.541805342345,297361.85893799993
S01008061,Glasgow,9775.66566523308,264548.2038659962
S01008062,Glasgow,10069.040027797306,151615.19401750155
S01008063,Glasgow,9702.072057689149,198203.97166451017
S01008064,Glasgow,9601.40641988698,128109.48850800178
S01008065,Glasgow,9253.720370501815,269467.1481379952
S01008066,Glasgow,8674.378715445187,379617.0808950071
S01008067,Glasgow,8676.238661516147,506871.4390229656
S01008068,Glasgow,8124.63647430547,367214.9417224786
S01008069,Glasgow,8054.655632882249,164138.50383465664
S01008070,Glasgow,7672.404640797814,185953.52332691528
S01008071,Glasgow,7768.007196289296,142174.2404469988
S01008072,Glasgow,7584.875173026558,176960.86112349073
S01008073,Glasgow,7330.8220206605,175371.54518150695
S01008074,Glasgow,7019.206299104357,393066.9593944666
S01008075,Glasgow,6841.531358690071,434949.71911995654
S01008076,Glasgow,7662.760069522787,200294.76757899486
S01008077,Glasgow,7990.658187957767,337855.14009800844
S01008078,Glasgow,7838.446066573811,364622.9797414978
S01008079,Glasgow,7455.473731758823,300473.7790755037
S01008080,Glasgow,7239.862371872988,216713.44401449422
S01008081,Glasgow,6807.8940649776405,207847.93520344875
S01008082,Glasgow,7070.882330175796,292372.5902075052
S01008083,Glasgow,7508.001401421614,162840.13083299604
S01008084,Glasgow,9580.568694655962,449437.39769299934
S01008085,Glasgow,9597.353991827076,7202197.159282508
S01008086,Glasgow,7738.037067485399,9558430.343549881
S01008087,Glasgow,6876.536641958208,167833.71901150304
S01008088,Glasgow,6509.095020947555,184832.2996239985
S01008089,Glasgow,6666.739440353598,246631.1168730057
S01008090,Glasgow,6286.597498310452,178031.51627399767
S01008091,Glasgow,6303.044026481666,122615.07465449553
S01008092,Glasgow,5848.649231258318,217754.7995400068
S01008093,Glasgow,6079.452987851593,169916.44614999535
S01008094,Glasgow,7282.204016055493,664871.0744284744
S01008095,Glasgow,6238.971499027289,127773.96203049322
S01008096,Glasgow,5856.139919533211,365798.7241805
S01008097,Glasgow,5367.865364556462,171603.24046949577
S01008098,Glasgow,5522.395781828853,188743.88671799185
S01008099,Glasgow,5236.145655739899,223808.91887915393
S01008100,Glasgow,4981.836835391234,306247.5076260183
S01008101,Glasgow,4486.459723100942,174331.10956209645
S01008102,Glasgow,4781.70011372879,342916.3189228782
S01008103,Glasgow,5118.135831962236,150885.9219170109
S01008104,Glasgow,5267.02921743868,117237.73150000183
S01008105,Glasgow,4924.272367795469,194383.05244155353
