dz_2011,year,pop_total,pop_workingage,pop_incomedeprived,simd_score
S01006527,2012,826.272727272727,535.909090909091,96.8181818181818,24.0956734063976
S01006528,2004,1003.2,618,151.3,20.5208163805
S01006528,2006,954,572.8,133,21.8304441685
S01006528,2009,979.2,617.2,143.5,20.9815559192298
S01006528,2012,1012.6,644.9,108,20.0743102237883
S01006529,2004,824.5,512.6,83.8,12.8393494213
S01006529,2006,751.5,475.6,108.8,17.0946327537
S01006529,2009,732.6,480.4,105,14.7474528960467
S01006529,2012,769.7,523,92.5,15.7343206306883
S01006530,2004,813.181818181818,494.818181818182,105,17.3519110009091
S01006530,2006,770.363636363636,476.636363636364,121.454545454545,22.3579752354545
S01006530,2009,756.090909090909,496.454545454545,129.545454545455,22.150731826071
S01006530,2012,789.272727272727,544.454545454545,95.4545454545455,21.7360615201298
S01006531,2004,966.818181818182,549,197.090909090909,27.2361089726364
S01006531,2006,891.272727272727,496.272727272727,176.909090909091,32.2527127079091
S01006531,2009,892.636363636364,543.181818181818,165.454545454545,29.4862646722102
S01006531,2012,890.909090909091,550.181818181818,158.181818181818,29.131894352176
S01006532,2004,665,389.333333333333,60.3333333333333,11.2811078430667
S01006532,2006,673.333333333333,416.666666666667,43.6666666666667,9.15480299466667
S01006532,2009,699.333333333333,417.666666666667,50,8.55899298809106
S01006532,2012,706.333333333333,429.666666666667,46.6666666666667,8.99804633073004
S01006533,2004,736.875,447.875,10.125,1.5022366453875
S01006533,2006,691,433.5,9.375,2.5695024122875
S01006533,2009,736.875,466.125,18.75,2.46898202239753
S01006533,2012,731.125,477.25,14.375,3.96133125687413
S01006534,2004,983,614,32,1.9937493671
S01006534,2006,948,572,32,2.75908272
S01006534,2009,908,529,35,3.03362803440219
S01006534,2012,901,539,20,3.12995955730571
S01006535,2004,985.666666666667,765.25,19.5833333333333,3.3116375128
S01006535,2006,900.5,689.833333333333,24.9166666666667,2.87384638638333
S01006535,2009,917.416666666667,702.5,26.6666666666667,3.07220936003119
S01006535,2012,933.583333333333,713.25,35.8333333333333,4.2120799226251
S01006536,2004,918.214285714286,736.071428571429,33.6428571428571,5.97201060866429
S01006536,2006,864.357142857143,688.857142857143,41.3571428571429,6.49621260932857
S01006536,2009,805,623.357142857143,40.3571428571429,5.8094321548506
S01006536,2012,800.714285714286,602.714285714286,42.5,6.46123070120113
S01006537,2004,769.285714285714,412.857142857143,10.5714285714286,2.51155970838571
S01006537,2006,744.285714285714,394.857142857143,12.1428571428571,4.05478247477143
S01006537,2009,737.857142857143,395.285714285714,8.57142857142857,3.17512429838458
S01006537,2012,751.571428571429,403.714285714286,12.1428571428571,4.12937116780162
S01006538,2004,607.714285714286,348.285714285714,5.42857142857143,3.26842831367143
S01006538,2006,585.857142857143,322.142857142857,7.28571428571429,4.07631215141429
S01006538,2009,576.571428571429,322.142857142857,9.28571428571428,3.09935086562802
S01006538,2012,599.428571428571,348.285714285714,10,4.32774226367695
S01006539,2004,709.25,405.75,36.5,5.0107537614125
S01006539,2006,704.75,411.75,29,4.183035767
S01006539,2009,734.375,410.625,28.75,3.91640275345126
S01006539,2012,708.75,400.125,26.875,4.9195195306548
S01006540,2004,881.454545454545,543.636363636364,36.1818181818182,4.83684717120909
S01006540,2006,847,528.090909090909,30.3636363636364,6.36493719418182
S01006540,2009,854.636363636364,544.272727272727,26.3636363636364,5.75180674743173
S01006540,2012,858.909090909091,554.181818181818,26.8181818181818,6.53766851864826
S01006541,2004,799.125,388.25,21.625,3.3442541854875
S01006541,2006,816.125,412.75,26.875,4.704472977325
S01006541,2009,782.125,395.5,25.625,4.23497788090083
S01006541,2012,808.5,424.25,21.875,4.27424427811812
S01006542,2004,963,536,9,3.8003767872
S01006542,2006,994,543,20,4.3122794427
S01006542,2009,1027,597,20,3.84821299719435
S01006542,2012,1012,578,15,3.71332855535734
S01006543,2004,805.222222222222,410.555555555556,7.33333333333333,4.45739367125556
S01006543,2006,800.333333333333,414.555555555556,14.1111111111111,5.0074975829
S01006543,2009,813.444444444444,432.111111111111,22.2222222222222,4.23419999639155
S01006543,2012,823,435.777777777778,14.4444444444444,3.75439602489617
S01006544,2004,818.909090909091,532.272727272727,21,3.43795266709091
S01006544,2006,692.727272727273,434.363636363636,14.3636363636364,3.81588764901818
S01006544,2009,873.818181818182,578.818181818182,11.3636363636364,2.77458180087633
S01006544,2012,1024.90909090909,684.545454545455,18.6363636363636,3.1411883271161
S01006545,2004,889.923076923077,504.230769230769,33,3.98454693351538
S01006545,2006,881.692307692308,500.307692307692,35.4615384615385,5.7020219128
S01006545,2009,983.461538461538,559.923076923077,41.1538461538462,4.61714912868782
S01006545,2012,964.153846153846,561.461538461538,40.7692307692308,5.03464251651657
S01006546,2004,774.1,448.4,17.5,3.78218044361
S01006546,2006,741.4,415.5,19.8,3.91014295124
S01006546,2009,778.2,453,18.5,3.20939218773097
S01006546,2012,800.5,476.1,20.5,3.35177803937794
S01006547,2004,810.4,439.8,70.2666666666667,14.36037095236
S01006547,2006,774,426.333333333333,81.2,17.1063301308733
S01006547,2009,829.533333333333,474.733333333333,75.3333333333333,16.1850575663719
